epoch,Lambda,Gamma,cover,learning_rate,quantiles,tree_height,feature_ratio,sample_ratio,time,confusion,acc,pre,spe,f1
10,1,0,0,0.3,5,6,0.25,0.25,10.70979524,"[[51  5]
 [ 7 27]]",0.866666667,0.84375,0.910714286,0.818181818
10,1,0,0,0.3,13,3,0.25,0.25,6.356226921,"[[53  3]
 [ 7 27]]",0.888888889,0.9,0.946428571,0.84375
10,1,0,0,0.3,13,6,0.25,0.25,14.80643821,"[[54  2]
 [ 7 27]]",0.9,0.931034483,0.964285714,0.857142857
10,1,0,1,0.1,5,3,0.25,0.25,5.625882864,"[[53  3]
 [ 8 26]]",0.877777778,0.896551724,0.946428571,0.825396825
10,1,0,1,0.1,5,6,0.25,0.25,10.41466808,"[[54  2]
 [ 9 25]]",0.877777778,0.925925926,0.964285714,0.819672131
10,1,0,1,0.1,13,3,0.25,0.25,7.422307253,"[[53  3]
 [10 24]]",0.855555556,0.888888889,0.946428571,0.786885246
10,1,0,1,0.1,13,6,0.25,0.25,14.19416618,"[[53  3]
 [10 24]]",0.855555556,0.888888889,0.946428571,0.786885246
10,1,0,1,0.3,5,3,0.25,0.25,6.005806446,"[[53  3]
 [11 23]]",0.844444444,0.884615385,0.946428571,0.766666667
10,1,0,1,0.3,5,6,0.25,0.25,11.56946993,"[[53  3]
 [10 24]]",0.855555556,0.888888889,0.946428571,0.786885246
10,1,0,1,0.3,13,3,0.25,0.25,8.217847347,"[[53  3]
 [11 23]]",0.844444444,0.884615385,0.946428571,0.766666667
10,1,0,1,0.3,13,6,0.25,0.25,15.00111294,"[[53  3]
 [10 24]]",0.855555556,0.888888889,0.946428571,0.786885246
10,1,0,3,0.1,5,3,0.25,0.25,6.587875128,"[[53  3]
 [11 23]]",0.844444444,0.884615385,0.946428571,0.766666667
10,1,0,3,0.1,5,6,0.25,0.25,9.635273218,"[[53  3]
 [11 23]]",0.844444444,0.884615385,0.946428571,0.766666667
10,1,0,3,0.1,13,3,0.25,0.25,8.744622469,"[[53  3]
 [11 23]]",0.844444444,0.884615385,0.946428571,0.766666667
10,1,0,3,0.1,13,6,0.25,0.25,12.19363427,"[[53  3]
 [11 23]]",0.844444444,0.884615385,0.946428571,0.766666667
10,1,0,3,0.3,5,3,0.25,0.25,7.352238655,"[[53  3]
 [11 23]]",0.844444444,0.884615385,0.946428571,0.766666667
10,1,0,3,0.3,5,6,0.25,0.25,10.81591582,"[[53  3]
 [11 23]]",0.844444444,0.884615385,0.946428571,0.766666667
10,1,0,3,0.3,13,3,0.25,0.25,8.983049154,"[[53  3]
 [11 23]]",0.844444444,0.884615385,0.946428571,0.766666667
10,1,0,3,0.3,13,6,0.25,0.25,14.09084082,"[[53  3]
 [11 23]]",0.844444444,0.884615385,0.946428571,0.766666667
10,1,0,5,0.1,5,3,0.25,0.25,8.046079397,"[[53  3]
 [11 23]]",0.844444444,0.884615385,0.946428571,0.766666667
10,1,0,5,0.1,5,6,0.25,0.25,9.87389636,"[[53  3]
 [11 23]]",0.844444444,0.884615385,0.946428571,0.766666667
10,1,0,5,0.1,13,3,0.25,0.25,10.75226212,"[[53  3]
 [11 23]]",0.844444444,0.884615385,0.946428571,0.766666667
10,1,0,5,0.1,13,6,0.25,0.25,13.10476971,"[[53  3]
 [11 23]]",0.844444444,0.884615385,0.946428571,0.766666667
10,1,0,5,0.3,5,3,0.25,0.25,8.457255363,"[[53  3]
 [11 23]]",0.844444444,0.884615385,0.946428571,0.766666667
10,1,0,5,0.3,5,6,0.25,0.25,10.45281148,"[[53  3]
 [11 23]]",0.844444444,0.884615385,0.946428571,0.766666667
10,1,0,5,0.3,13,3,0.25,0.25,10.6032443,"[[53  3]
 [11 23]]",0.844444444,0.884615385,0.946428571,0.766666667
10,1,0,5,0.3,13,6,0.25,0.25,13.51324224,"[[53  3]
 [11 23]]",0.844444444,0.884615385,0.946428571,0.766666667
10,1,1,0,0.1,5,3,0.25,0.25,9.781945944,"[[53  3]
 [11 23]]",0.844444444,0.884615385,0.946428571,0.766666667
10,1,1,0,0.1,5,6,0.25,0.25,11.97341347,"[[53  3]
 [11 23]]",0.844444444,0.884615385,0.946428571,0.766666667
10,1,1,0,0.1,13,3,0.25,0.25,11.75565386,"[[53  3]
 [11 23]]",0.844444444,0.884615385,0.946428571,0.766666667
10,1,1,0,0.1,13,6,0.25,0.25,14.9119606,"[[53  3]
 [11 23]]",0.844444444,0.884615385,0.946428571,0.766666667
10,1,1,0,0.3,5,3,0.25,0.25,10.15475702,"[[53  3]
 [11 23]]",0.844444444,0.884615385,0.946428571,0.766666667
10,1,1,0,0.3,5,6,0.25,0.25,12.64212704,"[[53  3]
 [11 23]]",0.844444444,0.884615385,0.946428571,0.766666667
10,1,1,0,0.3,13,3,0.25,0.25,11.83750868,"[[53  3]
 [11 23]]",0.844444444,0.884615385,0.946428571,0.766666667
10,1,1,0,0.3,13,6,0.25,0.25,15.6742692,"[[53  3]
 [11 23]]",0.844444444,0.884615385,0.946428571,0.766666667
10,1,1,1,0.1,5,3,0.25,0.25,10.88514709,"[[53  3]
 [11 23]]",0.844444444,0.884615385,0.946428571,0.766666667
10,1,1,1,0.1,5,6,0.25,0.25,13.45412922,"[[53  3]
 [11 23]]",0.844444444,0.884615385,0.946428571,0.766666667
10,1,1,1,0.1,13,3,0.25,0.25,12.97822213,"[[53  3]
 [11 23]]",0.844444444,0.884615385,0.946428571,0.766666667
10,1,1,1,0.1,13,6,0.25,0.25,17.17936587,"[[53  3]
 [11 23]]",0.844444444,0.884615385,0.946428571,0.766666667
10,1,1,1,0.3,5,3,0.25,0.25,11.8758688,"[[53  3]
 [11 23]]",0.844444444,0.884615385,0.946428571,0.766666667
10,1,1,1,0.3,5,6,0.25,0.25,13.14523864,"[[53  3]
 [11 23]]",0.844444444,0.884615385,0.946428571,0.766666667
10,1,1,1,0.3,13,3,0.25,0.25,13.21658707,"[[53  3]
 [11 23]]",0.844444444,0.884615385,0.946428571,0.766666667
10,1,1,1,0.3,13,6,0.25,0.25,16.42250896,"[[53  3]
 [11 23]]",0.844444444,0.884615385,0.946428571,0.766666667
10,1,1,3,0.1,5,3,0.25,0.25,11.85615659,"[[53  3]
 [11 23]]",0.844444444,0.884615385,0.946428571,0.766666667
10,1,1,3,0.1,5,6,0.25,0.25,13.52902746,"[[53  3]
 [11 23]]",0.844444444,0.884615385,0.946428571,0.766666667
10,1,1,3,0.1,13,3,0.25,0.25,14.00225163,"[[53  3]
 [11 23]]",0.844444444,0.884615385,0.946428571,0.766666667
10,1,1,3,0.1,13,6,0.25,0.25,15.74824452,"[[53  3]
 [11 23]]",0.844444444,0.884615385,0.946428571,0.766666667
10,1,1,3,0.3,5,3,0.25,0.25,12.68546033,"[[53  3]
 [11 23]]",0.844444444,0.884615385,0.946428571,0.766666667
10,1,1,3,0.3,5,6,0.25,0.25,13.95171571,"[[53  3]
 [11 23]]",0.844444444,0.884615385,0.946428571,0.766666667
10,1,1,3,0.3,13,3,0.25,0.25,14.87994766,"[[53  3]
 [11 23]]",0.844444444,0.884615385,0.946428571,0.766666667
10,1,1,3,0.3,13,6,0.25,0.25,17.12263155,"[[53  3]
 [11 23]]",0.844444444,0.884615385,0.946428571,0.766666667
10,1,1,5,0.1,5,3,0.25,0.25,12.99231863,"[[53  3]
 [11 23]]",0.844444444,0.884615385,0.946428571,0.766666667
10,1,1,5,0.1,5,6,0.25,0.25,14.25399709,"[[53  3]
 [11 23]]",0.844444444,0.884615385,0.946428571,0.766666667
10,1,1,5,0.1,13,3,0.25,0.25,15.65548754,"[[53  3]
 [11 23]]",0.844444444,0.884615385,0.946428571,0.766666667
10,1,1,5,0.1,13,6,0.25,0.25,16.33862805,"[[53  3]
 [11 23]]",0.844444444,0.884615385,0.946428571,0.766666667
10,1,1,5,0.3,5,3,0.25,0.25,13.20341635,"[[53  3]
 [11 23]]",0.844444444,0.884615385,0.946428571,0.766666667
10,1,1,5,0.3,5,6,0.25,0.25,14.38775706,"[[53  3]
 [11 23]]",0.844444444,0.884615385,0.946428571,0.766666667
10,1,1,5,0.3,13,3,0.25,0.25,14.45976925,"[[53  3]
 [11 23]]",0.844444444,0.884615385,0.946428571,0.766666667
10,1,1,5,0.3,13,6,0.25,0.25,17.42040277,"[[53  3]
 [11 23]]",0.844444444,0.884615385,0.946428571,0.766666667
