,epoch,Lambda,Gamma,cover,learning_rate,quantiles,tree_height,feature_ratio,sample_ratio,time,confusion,acc,pre,spe,f1
124,10,0,10,5,0.3,5,3,0.25,0.25,15.3521728515625,"[[49  6]
 [ 7 28]]",0.8555555555555555,0.8235294117647058,0.8909090909090909,0.8115942028985507
125,10,0,10,5,0.3,5,6,0.25,0.25,14.949000597000122,"[[49  6]
 [ 7 28]]",0.8555555555555555,0.8235294117647058,0.8909090909090909,0.8115942028985507
126,10,0,10,5,0.3,13,3,0.25,0.25,15.06772756576538,"[[49  6]
 [ 7 28]]",0.8555555555555555,0.8235294117647058,0.8909090909090909,0.8115942028985507
127,10,0,10,5,0.3,13,6,0.25,0.25,15.17376184463501,"[[49  6]
 [ 7 28]]",0.8555555555555555,0.8235294117647058,0.8909090909090909,0.8115942028985507
128,10,1,0,0,0.1,5,3,0.25,0.25,17.614206552505493,"[[49  6]
 [ 7 28]]",0.8555555555555555,0.8235294117647058,0.8909090909090909,0.8115942028985507
129,10,1,0,0,0.1,5,6,0.25,0.25,24.97287511825561,"[[49  6]
 [ 7 28]]",0.8555555555555555,0.8235294117647058,0.8909090909090909,0.8115942028985507
130,10,1,0,0,0.1,13,3,0.25,0.25,19.813376426696777,"[[49  6]
 [ 7 28]]",0.8555555555555555,0.8235294117647058,0.8909090909090909,0.8115942028985507
131,10,1,0,0,0.1,13,6,0.25,0.25,26.29281115531921,"[[49  6]
 [ 7 28]]",0.8555555555555555,0.8235294117647058,0.8909090909090909,0.8115942028985507
132,10,1,0,0,0.3,5,3,0.25,0.25,18.26253771781921,"[[49  6]
 [ 7 28]]",0.8555555555555555,0.8235294117647058,0.8909090909090909,0.8115942028985507
133,10,1,0,0,0.3,5,6,0.25,0.25,10.709795236587524,"[[51  5]
 [ 7 27]]",0.8666666666666667,0.84375,0.9107142857142856,0.8181818181818182
134,10,1,0,0,0.3,13,3,0.25,0.25,6.356226921081543,"[[53  3]
 [ 7 27]]",0.8888888888888888,0.9,0.9464285714285714,0.84375
135,10,1,0,0,0.3,13,6,0.25,0.25,14.806438207626345,"[[54  2]
 [ 7 27]]",0.9,0.9310344827586208,0.9642857142857144,0.8571428571428571
136,10,1,0,1,0.1,5,3,0.25,0.25,5.625882863998413,"[[53  3]
 [ 8 26]]",0.8777777777777778,0.896551724137931,0.9464285714285714,0.8253968253968255
137,10,1,0,1,0.1,5,6,0.25,0.25,10.414668083190918,"[[54  2]
 [ 9 25]]",0.8777777777777778,0.925925925925926,0.9642857142857144,0.819672131147541
138,10,1,0,1,0.1,13,3,0.25,0.25,7.422307252883911,"[[53  3]
 [10 24]]",0.8555555555555555,0.8888888888888888,0.9464285714285714,0.7868852459016393
139,10,1,0,1,0.1,13,6,0.25,0.25,14.19416618347168,"[[53  3]
 [10 24]]",0.8555555555555555,0.8888888888888888,0.9464285714285714,0.7868852459016393
140,10,1,0,1,0.3,5,3,0.25,0.25,6.00580644607544,"[[53  3]
 [11 23]]",0.8444444444444444,0.8846153846153846,0.9464285714285714,0.7666666666666666
141,10,1,0,1,0.3,5,6,0.25,0.25,11.569469928741457,"[[53  3]
 [10 24]]",0.8555555555555555,0.8888888888888888,0.9464285714285714,0.7868852459016393
142,10,1,0,1,0.3,13,3,0.25,0.25,8.217847347259521,"[[53  3]
 [11 23]]",0.8444444444444444,0.8846153846153846,0.9464285714285714,0.7666666666666666
143,10,1,0,1,0.3,13,6,0.25,0.25,15.001112937927246,"[[53  3]
 [10 24]]",0.8555555555555555,0.8888888888888888,0.9464285714285714,0.7868852459016393
144,10,1,0,3,0.1,5,3,0.25,0.25,6.587875127792358,"[[53  3]
 [11 23]]",0.8444444444444444,0.8846153846153846,0.9464285714285714,0.7666666666666666
145,10,1,0,3,0.1,5,6,0.25,0.25,9.635273218154907,"[[53  3]
 [11 23]]",0.8444444444444444,0.8846153846153846,0.9464285714285714,0.7666666666666666
146,10,1,0,3,0.1,13,3,0.25,0.25,8.744622468948364,"[[53  3]
 [11 23]]",0.8444444444444444,0.8846153846153846,0.9464285714285714,0.7666666666666666
